ticker,company,sector,total_assets,working_capital,retained_earnings,ebit,revenue,net_income,total_liabilities,book_equity,market_cap,shares,price
RELIANCE.NS,Reliance Industries Limited,Energy,1.95012E+13,4.5533E+11,3.91943E+12,1.28138E+12,9.64693E+12,6.9648E+11,9.40493E+12,8.432E+12,1.82756E+13,13532472634,1350.5
TCS.NS,Tata Consultancy Services Limited,Technology,1.59629E+12,7.001E+11,8.8777E+11,6.6127E+11,2.55324E+12,4.8553E+11,6.3858E+11,9.4756E+11,8.86685E+12,3618087518,2450.7
HDFCBANK.NS,HDFC Bank Limited,Financial Services,4.81877E+13,,2.0991E+12,,2.37151E+12,6.73508E+11,3.95648E+13,7.67689E+12,1.15588E+13,15393298711,750.9
INFY.NS,Infosys Limited,Technology,17419000000,6347000000,13766000000,4496000000,19277000000,3158000000,6164000000,11205000000,5.26383E+12,4046607287,1300.8
ICICIBANK.NS,ICICI Bank Limited,Financial Services,2.64224E+13,,1.18385E+12,,2.04715E+12,5.10292E+11,2.3135E+13,3.13906E+12,8.70493E+12,7159836685,1215.8
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,7.988E+11,55140000000,86220000000,1.481E+11,6.2288E+11,1.0649E+11,3.0271E+11,4.9402E+11,4.85332E+12,2349591262,2065.3
ITC.NS,ITC Limited,Consumer Defensive,8.80907E+11,2.95592E+11,4.90101E+11,2.6972E+11,7.46533E+11,3.47466E+11,1.76927E+11,7.00301E+11,3.66925E+12,12529468231,292.85
KOTAKBANK.NS,Kotak Mahindra Bank Limited,Financial Services,8.79774E+12,,9.00375E+11,,7.62853E+11,2.2126E+11,7.22285E+12,1.57489E+12,3.56049E+12,9945492975,358
LT.NS,Larsen & Toubro Limited,Industrials,3.79524E+12,4.33708E+11,8.99743E+11,2.69096E+11,2.54209E+12,1.50371E+11,2.6412E+12,9.76556E+11,4.9703E+12,1375632190,3613.1
AXISBANK.NS,Axis Bank Limited,Financial Services,1.65696E+13,,8.48141E+11,,8.48908E+11,2.80551E+11,1.46909E+13,1.87235E+12,3.72536E+12,3108172638,1197.9
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,4.66127E+12,,5.17827E+11,,4.23563E+11,1.66378E+11,3.6719E+12,9.66929E+11,5.13999E+12,6216345518,826.85
ASIANPAINT.NS,Asian Paints Limited,Basic Materials,3.03714E+11,88504500000,1.45964E+11,53300900000,3.38152E+11,36672300000,1.03123E+11,1.93998E+11,2.07919E+12,958594309,2169
MARUTI.NS,Maruti Suzuki India Limited,Consumer Cyclical,1.31972E+12,-10463000000,7.69044E+11,1.98142E+11,1.47469E+12,1.45002E+11,3.57319E+11,9.62399E+11,3.97122E+12,314402574,12631
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,Healthcare,9.21006E+11,3.44303E+11,5.78618E+11,1.39835E+11,5.20413E+11,1.0929E+11,1.96146E+11,7.2218E+11,4.06351E+12,2399334970,1693.6
TITAN.NS,Titan Company Limited,Consumer Cyclical,4.0647E+11,86410000000,87790000000,54880000000,6.0298E+11,33370000000,2.9023E+11,1.1624E+11,3.6344E+12,887045260,4097.2
ULTRACEMCO.NS,UltraTech Cement Limited,Basic Materials,1.33697E+12,-86277700000,1.10394E+11,91540800000,7.49365E+11,60391100000,5.98038E+11,7.07068E+11,3.12413E+12,294137690,10620
WIPRO.NS,Wipro Limited,Technology,1.28652E+12,4.91522E+11,7.16477E+11,1.84204E+11,8.90884E+11,1.31354E+11,4.56073E+11,8.28309E+11,2.04366E+12,10476917284,194.91
NESTLEIND.NS,Nestlé India Limited,Consumer Defensive,1.21933E+11,-9511900000,39020100000,44521300000,2.00775E+11,32075900000,81831100000,40102100000,2.2972E+12,1928314320,1191.3
TECHM.NS,Tech Mahindra Limited,Technology,4.44945E+11,1.10052E+11,2.31051E+11,59749000000,5.29883E+11,42515000000,1.67028E+11,2.73615E+11,1.27727E+12,885605623,1441.5
HCLTECH.NS,HCL Technologies Limited,Technology,1.05544E+12,3.407E+11,5.6735E+11,2.3905E+11,1.17055E+12,1.739E+11,3.5871E+11,6.9655E+11,3.79387E+12,2705652444,1402.2
DIVISLAB.NS,Divi's Laboratories Limited,Healthcare,1.6932E+11,86290000000,1.34E+11,29180000000,93250000000,21910000000,19630000000,1.4969E+11,1.55472E+12,265468580,5856.5
DRREDDY.NS,Dr. Reddy's Laboratories Limited,Healthcare,4.92989E+11,1.1972E+11,3.15793E+11,79613000000,3.25535E+11,56544000000,1.55823E+11,3.33388E+11,1.01352E+12,832594805,1217.3
CIPLA.NS,Cipla Limited,Healthcare,3.7387E+11,1.78046E+11,2.56443E+11,68648300000,2.71454E+11,52725200000,60977900000,3.11935E+11,9.632E+11,807782631,1192.4
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,Healthcare,2.06574E+11,24500000000,39413000000,24616000000,2.15774E+11,14459000000,1.20045E+11,82123000000,1.05214E+12,143784657,7317.5
TATASTEEL.NS,Tata Steel Limited,Basic Materials,2.79395E+12,-1.7702E+11,3.36985E+11,1.57538E+11,2.1684E+12,34205100000,1.88042E+12,9.11696E+11,2.42128E+12,12471847611,194.14
JSWSTEEL.NS,JSW Steel Limited,Basic Materials,2.40742E+12,1.011E+11,5.1812E+11,1.294E+11,1.66575E+12,35040000000,1.59076E+12,7.9496E+11,2.78804E+12,2440633358,1141.3
COALINDIA.NS,Coal India Limited,Energy,2.60198E+12,3.14518E+11,6.93968E+11,4.76247E+11,1.24269E+12,3.53582E+11,1.60248E+12,9.91049E+11,2.76922E+12,6162728327,449.35
BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,6.52232E+12,,4.55703E+11,4.80579E+11,1.21192E+12,88723100000,5.23797E+12,7.23953E+11,2.62101E+12,1597497155,1640.7
ADANIENT.NS,Adani Enterprises Limited,Energy,1.98136E+12,-64389300000,2.51387E+11,1.53663E+11,9.77111E+11,70990000000,1.41665E+12,5.0314E+11,2.49806E+12,1154180729,1834.2
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Industrials,1.35332E+12,-20418700000,4.63327E+11,1.57163E+11,3.04753E+11,1.10923E+11,7.03589E+11,6.24354E+11,3.17393E+12,2303959098,1377.6
NTPC.NS,NTPC Limited,Utilities,5.24165E+12,-1.05878E+11,5.90907E+11,4.10921E+11,1.86246E+12,2.34225E+11,3.33042E+12,1.84071E+12,3.48741E+12,9696666134,359.65
POWERGRID.NS,Power Grid Corporation of India Limited,Utilities,2.66107E+12,-1.11063E+11,24451100000,2.7718E+11,4.40729E+11,1.55214E+11,1.73444E+12,9.26628E+11,2.69671E+12,9300603819,289.95
ONGC.NS,Oil and Natural Gas Corporation Limited,Energy,7.58723E+12,-3.20455E+11,2.988E+11,6.42381E+11,6.08951E+12,3.62256E+11,3.84488E+12,3.4344E+12,3.61306E+12,12580279206,287.2
BPCL.NS,Bharat Petroleum Corporation Limited,Energy,2.18382E+12,-1.78398E+11,1.6638E+11,2.17371E+11,4.38738E+12,1.33366E+11,1.36998E+12,8.13841E+11,1.20676E+12,4338505488,278.15
IOC.NS,Indian Oil Corporation Limited,Energy,5.06867E+12,-7.29713E+11,,2.55551E+11,7.54568E+12,1.35978E+11,3.15842E+12,1.86487E+12,1.89408E+12,14121238383,134.13
INDIGO.NS,InterGlobe Aviation Limited,Industrials,1.15844E+12,1.64853E+11,47667000000,1.26734E+11,7.76186E+11,72584000000,1.06475E+12,93682000000,1.62126E+12,386612998,4193.5
EICHERMOT.NS,Eicher Motors Limited,Consumer Cyclical,2.71744E+11,26883800000,2.05421E+11,59874100000,1.85382E+11,47344400000,58779200000,2.12965E+11,1.82405E+12,274314204,6649.5
HEROMOTOCO.NS,Hero MotoCorp Limited,Consumer Cyclical,2.83903E+11,59579100000,1.64282E+11,60042100000,4.07125E+11,43784800000,89862300000,1.9272E+11,1.00275E+12,200089777,5011.5
BAJAJ-AUTO.NS,Bajaj Auto Limited,Consumer Cyclical,5.41986E+11,78621200000,2.44988E+11,1.06124E+11,4.9267E+11,73247300000,1.90099E+11,3.51887E+11,2.44583E+12,279246551,8758.5
TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive,3.19777E+11,31013500000,75849100000,20667500000,1.75084E+11,12784700000,1.05874E+11,2.00011E+11,1.03127E+12,989561780,1042
BRITANNIA.NS,Britannia Industries Limited,Consumer Defensive,88385500000,2954200000,40364400000,30627700000,1.7535E+11,21787300000,44572300000,43557200000,1.31081E+12,240868296,5442
GODREJCP.NS,Godrej Consumer Products Limited,Consumer Defensive,1.96718E+11,4043500000,92524300000,29830000000,1.42848E+11,18523000000,76678700000,1.20039E+11,1.01792E+12,1023244581,994.8
DABUR.NS,Dabur India Limited,Consumer Defensive,1.62323E+11,22140200000,98078500000,24047800000,1.24E+11,17676300000,50220200000,1.08007E+11,7.40072E+11,1773690172,417.25
PIDILITIND.NS,Pidilite Industries Limited,Basic Materials,1.40115E+11,41721400000,80718200000,28730500000,1.30939E+11,20762400000,40537100000,97544600000,1.29623E+12,1017766288,1273.6
BERGEPAINT.NS,Berger Paints India Limited,Basic Materials,91316400000,25105900000,56063000000,16317400000,1.14575E+11,11804000000,29649500000,61541000000,4.93538E+11,1165966250,422.25
HAVELLS.NS,Havells India Limited,Industrials,1.38094E+11,40957500000,73000700000,20337300000,2.16001E+11,14722600000,54684400000,83237900000,7.40583E+11,627256842,1180.6
VOLTAS.NS,Voltas Limited,Consumer Cyclical,1.3152E+11,28724200000,38579600000,12528600000,1.53205E+11,8413700000,66117200000,65132500000,4.08775E+11,330884740,1235.4
GRASIM.NS,Grasim Industries Limited,Basic Materials,5.00536E+12,-1.40512E+11,1.07379E+11,1.35969E+11,1.47178E+12,37056800000,3.42723E+12,9.75092E+11,1.7389E+12,678114605,2564.1
AMBUJACEM.NS,Ambuja Cements Limited,Basic Materials,8.09454E+11,58651200000,1.45233E+11,61383100000,3.33624E+11,41674300000,1.7134E+11,5.34433E+11,1.03433E+12,2471823478,418.45
